"output_name","study","core_structure","align_samples","source_artifact"
"Zaramela2022","2022_zaramela_msystems_synDNA","LIST={original = DATAFRAME(42 x 1146), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(21 x 215)}} || LIST={original = DATAFRAME(21 x 215), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(21 x 215)}} || LIST={original = DATAFRAME(5883 x 13), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(658 x 9)}} || DATAFRAME(42 x 7) || DATAFRAME(75 x 42)",TRUE,"datasetsfromrepo_validation.RData"
"Feng2023","2023_feng_imetawiley_chickensegment","LIST={original = LIST={16S = DATAFRAME(320 x 25), ITS = DATAFRAME(320 x 10)}, reprocessed = LIST={rdp19 = DATAFRAME(640 x 1448), rdp16 = DATAFRAME(640 x 1128)}} || LIST={original = LIST={16S = DATAFRAME(320 x 25), ITS = DATAFRAME(320 x 10)}, reprocessed = LIST={rdp19 = DATAFRAME(640 x 1448), rdp16 = DATAFRAME(640 x 1128)}} || LIST={original = LIST={16S = DATAFRAME(25 x 9), ITS = DATAFRAME(10 x 9)}, reprocessed = LIST={rdp19 = DATAFRAME(153159 x 7), rdp16 = DATAFRAME(153159 x 7)}} || DATAFRAME(640 x 6) || DATAFRAME(640 x 51)",TRUE,"datasetsfromrepo_validation.RData"
"Reese2022","2021_reese_cell_chimpanzee","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(611 x 890), rdp16 = DATAFRAME(611 x 708)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(611 x 890), rdp16 = DATAFRAME(611 x 708)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(16481 x 7), rdp16 = DATAFRAME(16481 x 7)}} || DATAFRAME(618 x 5) || DATAFRAME(618 x 72)",TRUE,"datasetsfromrepo_validation.RData"
"Barlow2020","2020_barlow_naturecommunications_miceGI","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(116 x 191), rdp16 = DATAFRAME(116 x 164)}} || LIST={original = DATAFRAME(103 x 131), reprocessed = LIST={rdp19 = DATAFRAME(116 x 191), rdp16 = DATAFRAME(116 x 164)}} || LIST={original = DATAFRAME(142 x 8), reprocessed = LIST={rdp19 = DATAFRAME(15954 x 7), rdp16 = DATAFRAME(15954 x 7)}} || DATAFRAME(126 x 5) || DATAFRAME(126 x 50)",TRUE,"datasetsfromrepo_validation.RData"
"Morton2019","2019_morton_naturecommunications_songbird_oral","LIST={original = DATAFRAME(32 x 65), reprocessed = LIST={amplicon = LIST={rdp19 = DATAFRAME(522 x 304), rdp16 = DATAFRAME(522 x 258)}, shotgun = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(96 x 285)}}} || LIST={original = DATAFRAME(96 x 285), reprocessed = LIST={amplicon = LIST={rdp19 = DATAFRAME(522 x 304), rdp16 = DATAFRAME(522 x 258)}, shotgun = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(96 x 285)}}} || LIST={original = DATAFRAME(485 x 10), reprocessed = LIST={amplicon = LIST={rdp19 = DATAFRAME(1574 x 7), rdp16 = DATAFRAME(1574 x 7)}, shotgun = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(828 x 9)}}} || LIST={original = DATAFRAME(32 x 19), reprocessed = DATAFRAME(620 x 40)} || LIST={original = DATAFRAME(32 x 50), reprocessed = DATAFRAME(620 x 143)}",TRUE,"datasetsfromrepo_validation.RData"
"Prochazkova2024","2024_prochazkova_naturemicrobiology_longitudinalhealthyflowfecal","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(57 x 316), rdp16 = DATAFRAME(57 x 226)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(57 x 316), rdp16 = DATAFRAME(57 x 226)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(2734 x 7), rdp16 = DATAFRAME(2734 x 7)}} || DATAFRAME(57 x 7) || DATAFRAME(369 x 52)",TRUE,"datasetsfromrepo_validation.RData"
"Zemb2020","2020_zemb_microOpen_spike","LIST={original = DATAFRAME(10 x 428), reprocessed = LIST={rdp19 = DATAFRAME(10 x 140), rdp16 = DATAFRAME(10 x 110)}} || LIST={original = DATAFRAME(10 x 428), reprocessed = LIST={rdp19 = DATAFRAME(10 x 140), rdp16 = DATAFRAME(10 x 110)}} || LIST={original = DATAFRAME(428 x 1), reprocessed = LIST={rdp19 = DATAFRAME(1142 x 7), rdp16 = DATAFRAME(1142 x 7)}} || DATAFRAME(24 x 18) || DATAFRAME(24 x 41)",TRUE,"datasetsfromrepo_validation.RData"
"Galazzo2020","2020_galazzo_frontiersincellularandinfectionmicrobiology_flowqPCRddPCRhealthy","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(66 x 280), rdp16 = DATAFRAME(66 x 194)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(66 x 280), rdp16 = DATAFRAME(66 x 194)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(2556 x 7), rdp16 = DATAFRAME(2556 x 7)}} || DATAFRAME(70 x 14) || DATAFRAME(66 x 81)",TRUE,"datasetsfromrepo_validation.RData"
"Lin2019","2019_lin_applenvironmicrobiol_16s18smarineecologyflowandspikein","LIST={original = NULL, reprocessed = LIST={rdp19 = LIST={16S = DATAFRAME(38 x 230)}, rdp16 = LIST={16S = DATAFRAME(38 x 204)}}} || LIST={original = NULL, reprocessed = LIST={rdp19 = LIST={16S = DATAFRAME(38 x 230)}, rdp16 = LIST={16S = DATAFRAME(38 x 204)}}} || LIST={original = NULL, reprocessed = LIST={rdp19 = LIST={16S = DATAFRAME(12844 x 7)}, rdp16 = LIST={16S = DATAFRAME(12844 x 7)}}} || DATAFRAME(56 x 4) || DATAFRAME(177 x 40)",TRUE,"datasetsfromrepo_validation.RData"
"Suriano2022","2022_suriano_aps_micefecal","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(187 x 2), rdp16 = DATAFRAME(187 x 4)}} || LIST={original = DATAFRAME(187 x 103), reprocessed = LIST={rdp19 = DATAFRAME(187 x 2), rdp16 = DATAFRAME(187 x 4)}} || LIST={original = DATAFRAME(179 x 7), reprocessed = LIST={rdp19 = DATAFRAME(6482 x 7), rdp16 = DATAFRAME(6482 x 7)}} || DATAFRAME(237 x 4) || DATAFRAME(187 x 52)",TRUE,"datasetsfromrepo_validation.RData"
"Thiruppathy2025","2025_thiruppathy_microbiome_relicDNAflow","LIST={original = DATAFRAME(123 x 98), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(123 x 266)}} || LIST={original = DATAFRAME(123 x 98), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(123 x 266)}} || LIST={original = DATAFRAME(122 x 11), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(784 x 9)}} || DATAFRAME(144 x 5) || DATAFRAME(144 x 77)",TRUE,"datasetsfromrepo_validation.RData"
"Kallastu2023","2023_kallastu_research_foodscience_food","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(10 x 53), rdp16 = DATAFRAME(10 x 53)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(10 x 53), rdp16 = DATAFRAME(10 x 53)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(190 x 7), rdp16 = DATAFRAME(190 x 7)}} || DATAFRAME(10 x 11) || DATAFRAME(10 x 34)",TRUE,"datasetsfromrepo_validation.RData"
